Label,Timestamp,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Ch_11,Ch_12,Ch_13,Ch_14,Ch_15,Ch_16,Ch_17,Ch_18
Infested,2026-02-09 14:18:17,25.25922393798828,87.29801177978516,251.9941253662109,111.4185028076172,115.72682189941406,135.3166046142578,38.692527770996094,49.33988571166992,36.91756820678711,24.02520751953125,2.69576096534729,2.86989974975586,270.045166015625,181.94729614257807,506.9855041503906,322.1322021484375,115.34722137451172,52.63937759399414
Infested,2026-02-09 14:24:22,23.62959671020508,95.74620819091795,328.68798828125,159.16928100585938,178.3814697265625,212.8346405029297,73.64061737060547,80.79405975341797,46.89529037475586,50.50196838378906,4.717581748962402,4.78316593170166,553.9387817382812,424.5436706542969,1519.344482421875,859.5670776367188,267.3958435058594,114.43343353271484
Infested,2026-02-09 14:24:29,23.62959671020508,94.80752563476562,324.1228942871094,158.33155822753906,174.69590759277344,212.1546630859375,74.26469421386719,80.79405975341797,46.89529037475586,49.52134704589844,4.717581748962402,4.78316593170166,562.01708984375,450.6855163574219,1491.1337890625,842.3099975585938,272.6388854980469,119.01077270507812
Infested,2026-02-09 14:24:33,22.81478309631348,94.80752563476562,323.2098693847656,158.33155822753906,174.69590759277344,212.1546630859375,74.26469421386719,80.79405975341797,46.89529037475586,49.52134704589844,4.717581748962402,4.78316593170166,558.554931640625,436.0460815429688,1478.237548828125,834.0923461914062,270.8912048339844,119.01077270507812
Infested,2026-02-09 14:41:14,25.25922393798828,115.45866394042967,397.1646728515625,150.79196166992188,160.6907501220703,199.9149780273437,64.27952575683594,68.45909118652344,45.89751815795898,76.97872924804688,4.717581748962402,4.78316593170166,1241.74609375,780.0728759765625,1645.889404296875,897.3682861328125,308.4664306640625,145.33045959472656
Infested,2026-02-09 14:41:23,24.44441032409668,114.5199737548828,395.338623046875,149.9542236328125,159.95364379882812,199.2349853515625,63.65544891357422,68.45909118652344,45.89751815795898,76.48841857910156,4.717581748962402,4.78316593170166,1229.0516357421875,772.753173828125,1631.3809814453125,889.150634765625,306.71875,144.18612670898438
Infested,2026-02-09 14:41:36,25.25922393798828,114.5199737548828,392.59954833984375,149.9542236328125,159.21652221679688,199.2349853515625,63.65544891357422,67.84234619140625,45.39863204956055,76.48841857910156,4.717581748962402,4.78316593170166,1223.281494140625,768.5704345703125,1624.932861328125,885.0418090820312,304.9710693359375,144.18612670898438
Infested,2026-02-09 14:43:22,35.851802825927734,173.6573486328125,772.4168090820312,234.5652618408203,294.8454284667969,460.3484191894531,91.11466217041016,109.16449737548828,71.34070587158203,104.92642211914062,6.065462112426758,7.653065681457519,1274.0592041015625,661.9116821289062,1549.1671142578125,843.1317749023438,272.6388854980469,139.60877990722656
Infested,2026-02-09 14:43:29,35.0369873046875,168.96389770507812,737.721923828125,228.7011260986328,281.5773620605469,448.1087341308594,89.86651611328125,107.93099975585938,69.84404754638672,103.45549011230467,6.065462112426758,7.653065681457519,1195.5845947265625,701.6473388671875,1494.35791015625,816.0134887695312,277.8819580078125,133.88711547851562
Infested,2026-02-09 14:43:45,34.22217559814453,165.2091522216797,715.8094482421875,230.3766021728516,280.1031494140625,444.7088317871094,103.59612274169922,120.2659683227539,73.83513641357422,103.94580078125,6.065462112426758,7.653065681457519,1922.6292724609373,1112.59716796875,1811.123046875,967.2183837890624,361.7708435058594,176.22747802734375
